2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - After method: getCustomerDetails
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Method returned: 9823651431@ICICI Bank
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - After method: findUpiId
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Method returned: [com.nihilent.bankingApplication.entity.BeneficiaryAccount@145eb9ef, com.nihilent.bankingApplication.entity.BeneficiaryAccount@3268edac, com.nihilent.bankingApplication.entity.BeneficiaryAccount@606a68e8, com.nihilent.bankingApplication.entity.BeneficiaryAccount@62f42272]
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - After method: getAllBeneficiaries
2025-11-19 10:57:05 WARN  org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.resource.NoResourceFoundException: No static resource NihilentBank/getQRCode.]
2025-11-19 10:57:05 WARN  org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.resource.NoResourceFoundException: No static resource NihilentBank/getQRCode.]
2025-11-19 10:57:10 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before and after method: getQRCode
2025-11-19 10:57:10 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before method: getQRCode
2025-11-19 10:57:10 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Method returned: [B@412cdf1f
2025-11-19 10:57:10 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - After method: getQRCode
2025-11-19 10:57:11 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before and after method: getBalance
2025-11-19 10:57:11 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before method: getBalance
2025-11-19 10:57:11 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before and after method: getAllBeneficiaries
2025-11-19 10:57:11 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before method: getAllBeneficiaries
2025-11-19 10:57:11 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Method returned: [com.nihilent.bankingApplication.entity.BeneficiaryAccount@6d005ce0, com.nihilent.bankingApplication.entity.BeneficiaryAccount@453791c8, com.nihilent.bankingApplication.entity.BeneficiaryAccount@462632e9, com.nihilent.bankingApplication.entity.BeneficiaryAccount@8024260]
2025-11-19 10:57:11 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - After method: getAllBeneficiaries
2025-11-19 10:57:11 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Method returned: 130925.0
2025-11-19 10:57:11 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - After method: getBalance
2025-11-19 10:58:17 INFO  org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2025-11-19 10:58:17 INFO  org.apache.kafka.clients.consumer.internals.ConsumerRebalanceListenerInvoker - [Consumer clientId=consumer-groupID-145, groupId=groupID] Revoke previously assigned partitions kafkaTopic-0
2025-11-19 10:58:17 INFO  org.springframework.kafka.listener.KafkaMessageListenerContainer - groupID: partitions revoked: [kafkaTopic-0]
